comment,code,non-information
copyright 2014 2015 controls fx rights reserved redistribution and use in source and binary forms with or without modification are permitted provided that following conditions are met redistributions of source code must retain above copyright notice list of conditions and following disclaimer redistributions in binary form must reproduce above copyright notice list of conditions and following disclaimer in documentation and or other materials provided with distribution neither name of controls fx associated website nor names of contributors may be used to endorse or promote products derived from software without specific prior written permission software is provided by copyright holders and contributors as is and express or implied warranties including but not limited to implied warranties of merchantability and fitness for particular purpose are disclaimed in event shall controlsfx be liable for direct indirect incidental special exemplary or consequential damages including but not limited to procurement of substitute goods or services loss of use data or profits or business interruption however caused and on theory of liability whether in contract strict liability or tort including negligence or otherwise arising in way out of use of software even if advised of possibility of such damage,package org jabref gui autocompleter,no
use property as initial source,update accept property get value,no
map containing registered external file types,private final set external file type external file types new tree set<> comparator comparing external file type::get name,yes
workaround taken from,private void setup clear button field custom text field custom text field,no
always overwrite keys by default,return true,no
we are not alone there is already server out there send command line arguments to other instance,if remote client send command line arguments args,no
process arguments,argument processor argument processor new argument processor arguments argument processor mode initial start,yes
nothing set so we use default values,while preferences get jab ref preferences custom tab name def null,no
run actual open in thread to prevent program locking until file is loaded,background task wrap open it file dialog import strings dialog import groups dialog import selector words,no
it could be that somehow path is null for example if it got deleted in meantime,if directory null,no
extract url parameter,string pairs query split,no
collect callables to execute in one collection,for bib entry entry entries,no
todo add undo store undo information abstract undoable edit undo add previous entries null undoable modify group undo new undoable modify group group selector this groups root node new group if undo add previous entries null panel get undo manager add edit undo else named compound nc new named compound modify group nc add edit undo nc add edit undo add previous entries nc end panel get undo manager add edit nc if add change is empty undo add previous entries undoable change entries of group get undoable edit null add change,,no
adds filename to top of menu if it already is in menu it is merely moved to top,public void new file path file,no
view model can be used for add exporter and modify exporter functionalities it takes optional exporter is empty for add exporter and takes selected exporter for modify exporter returns optional exporter empty if invalid or exporter is created and otherwise contains exporter to be added or is modified,,no
we need to catch one here because open office panel class is loaded before connection and therefore can not directly reference or catch disposed exception is in oo jar file,throw new connection lost exception ex get message,no
css label outline,label outline,yes
resize policy is almost same as @link table view constrained resize policy we make sure that width of columns sums up to total width of table however in contrast to @link table view constrained resize policy we size columns initially by preferred width,public class smart constrained resize policy implements callback table view resize features boolean,no
we have to cast bib entries from bib entry suggestion provider to parsed entry link,collection bib entry bib entries collection bib entry super complete request,no
puts list of bib entry in map previous content is cleared,public void put bib entries list bib entry entries,no
wraps old swing commands so that they fit into new infrastructure in long term class should be removed,@deprecated,no
run in one minute,60000,no
see if there are duplicate citations marks referring to different entries if so we need to use uniquefiers,map string list string ref keys new hash map,no
todo,,no
todo print error message localization lang error while writing file to string ex,,no
parse modified file,result open database load database diskdb to absolute path to string import format preferences,no
represents binding between text input control and auto completion popup class is slightly modified version of @link impl org controlsfx autocompletion auto completion text field binding works with general text input controls instead of just text fields,public class auto completion text input binding extends auto completion binding,no
creates instance of @link linked file based on given file we try to guess file type and relativize path against given file directories todo move method to @link linked file as soon as @link custom external file type lives in model,public static linked file from file path file list path file directories external file types external file types file,no
create default suggestion provider based on to string method of generic objects using provided string converter,public static suggestion provider create callback string string converter collection possible suggestions,no
remove entry,entries remove entry,yes
repaints table with most recent font configuration,public void update font,no
updates timestamp of changed entries if feature is enabled,class update timestamp listener,no
add new component,visible components add component,yes
setting character format failed so we throw exception will result in error message for user,throw new undefined character format exception char style,no
implementation of task executor runs task on current thread in sequential order class is not designed to be used in production but should make code involving asynchronous operations deterministic and testable,public class current thread task executor implements task executor,no
file matched name try to open it directly using given app,open external file platform independent type link,no
represents viewport for page note instances of @link document viewer page are reused not page is rendered in new instance but instead @link document viewer page update item object is called,private class document viewer page implements cell document page view model stack pane,no
set given field to given value for entries in collection method does not update undo manager but returns relevant compound edit should be registered by caller,private static undoable edit mass set field collection bib entry entries field field string text to set,no
go back to relevant position, view cursor goto range position false,no
displays bib entry using given layout format,public class preview viewer extends scroll pane implements invalidation listener,no
saved now exit,return true,no
try to get as much information from temporal accessor,local date date date time query temporal queries local date,no
there is apparently neat way to get page number from pd page thus old style for loop,for int pages get count i++,no
read prefs information for file types,string vals string util,no
start office process,process runtime get runtime exec cmd array,no
make list of pd fs linked from entry,list path files entry get files stream,no
method is called when dialog is opened or if it is made visible after being hidden calls appropriate method in view model,void set values,no
perform migrations,preferences migrations run migrations,yes
constructs @link table cell based on value of cell and bunch of specified converter methods,public class value table cell factory implements callback table column table cell,no
store new patterns globally,prefs put key pattern keypatterns,no
backup of groups before modification,private final group tree node group root,no
mapped list implementation based on,public final class mapped list extends transformation list,no
start of ugly hack we need to find out tabs will be shown and not and remove and re add appropriate tabs to editor we do not want to simply remove and re add complete list of visible tabs because tabs give ugly animation looks like tabs are shifting in from right hack is required since tabbed get tabs set all visible tabs changes order of tabs in editor,,no
make sure layout is set according to checkbox,cleanup enabled selected property add listener new enablement status listener<> field formatter cleanups is enabled,no
shift on win or modifier,link,no
expand or collapse tree item and reset time,this drag started system current time millis,yes
user wants to save,try,no
open file,string file path file get to string,no
returns path to system applications folder,path get application directory,yes
opens shared database,public class connect to shared database command extends simple command,yes
parameters,if query null,yes
will wrap built in and ieee abbreviations in pseudo abbreviation files and add them to list of journal abbreviation files,void add built in lists,no
url,if decode matches url exp,yes
first remove tabs that we do not want to show,list entry editor tab to be removed tabs stream filter tab tab should show entry collect collectors to list,yes
prevent right click to select group,event consume,no
css close circle,integrity fail color red material design icon close circle,yes
unknown external file type instance represents file type unknown to jab ref can happen for example when database is loaded contains links to files of type has not been defined on jab ref instance,public class unknown external file type implements external file type,no
wait 500 ms then try to connect again but do not wait longer than min 600 500 ms total,if 600,no
returns text formatter restricts input to integers,public static text formatter string get integer text formatter,no
format name field for table according to user preferences,public static string format name final string name to format,yes
css view list,toggle groups material design icon view list,yes
ok we have seen exact marker before,if ref keys get marker contains current key,no
execute callables and wait for results,list future boolean futures jab ref executor service,no
stores user dialogs related to @link backup manager,public class backup ui manager,no
nothing to do here,,yes
minimum number of selected entries to ask user for confirmation,private static final int warning limit,no
exception used to indicate that plugin attempted to set character format is not defined in current open office document,class no document exception extends exception,no
create call with arguments we need socket pipe does not work,string cmd array new string arg array length,no
writable image get desired width get desired height,background task image generate image background task,yes
return boolean if selected entry have url or doi,private boolean is exist ur lor doi list bib entry select entry list,no
class can be used to wrap @see string property inside it when wrapped listener listening for updates to wrapped string property for example because of binding to it is ensured to be notified on java fx application thread it should be used to implement bindings where updates come in from background thread but should be reflected in ui where it is necessary that changes to ui are performed on java fx application thread,public class ui thread string property extends string property,no
prefs put boolean jab ref preferences window maximised get extended state frame maximized both,,yes
dialog for managing term list files,public class manage protected terms dialog extends base dialog void,yes
check if path to command has been specified,if command path null or command path trim is empty,no
will only happen if field exists,merged entry set field field left entry get field field get,no
we need to make copy as instances of log event are reused by log4j,mutable log event copy new mutable log event,no
perform permutation,object permuted part new object to from,yes
stream all match in contrast to stream any match returns true for empty streams so has to be checked explicitly,return bindings create boolean binding source is empty source stream all match predicate source,yes
if there is value do nothing,if val to move is present or val to move get is empty,no
set default value,globals prefs put jab ref preferences default bibtex key pattern default pat get text,no
update citation list depending on selected reference,public void active reference changed reference view model reference,no
enable actions depend on connect,select document set disable false,no
deleted since it does not work anymore needs refactoring menu item previous preview layout new menu item localization lang previous preview layout ;previous preview layout set accelerator key binding repository get key combination key binding base panel previous preview style ;menu item next preview layout new menu item localization lang next preview layout ;next preview layout set accelerator key binding repository get key combination key binding base panel next preview style,,yes
for types,private final text field name field new text field,no
we only handle entry modify here so context is always path,@suppress warnings unchecked,no
opens given url using system browser,public static void open browser string url throws io exception,yes
constructor taking two entries,public entry left bib entry entry right bib database mode type,yes
we create decoration pane ourselves for performance reasons otherwise it has to be injected later leading to complete redraw relayout of complete scene,decoration pane root new decoration pane,no
css eye,read status read color rgb 111 204 117 material design icon eye,yes
first check if valid entry is selected,if selected key binding is null get,yes
return string for displaying node name and number of children if it is directory,public string get display text,no
dir must be folder not file,if,yes
set up key bindings specific for entry editor,private void setup key bindings,yes
bootstraps servicemanager with jurt base components registered see also unoidl code com sun star lang service manager< code,public static multi service factory create simple service manager throws exception,no
footnote anchor gives correct position in text,range footer get anchor,no
see if it helps to append,lp new file command path,no
remove annotations for current entry and reinitialize annotation cache,cache remove entry,no
for reason graphic is not set correctly so let fix,button graphic property unbind,no
set up groups tree,group tree get selection model set selection mode selection mode multiple,no
store directory for next time,preferences set working dir path,no
threads will be allowed to finish,this executor service shutdown,no
fetches possibly saved data and configures control elements respectively,private void apply preferences,no
exception used to indicate that plugin attempted to set character format is not defined in current open office document,class creation exception extends exception,no
autosave,,no
sets indeterminate status of progress bar,public void set progress bar indeterminate final boolean value,yes
action was either canceled or unsuccessful,dialog service notify localization lang unable to save library,no
remove fields are not in merged entry unless they are internal fields,for field field original fields,no
text before citation,if start,no
entry type,entry type old type original entry get type,yes
display warnings if,int tab number,yes
set string associated with file type icon,public void set icon name string name,yes
added comparator for read status,if special field special field read status,yes
constructor should only be called to create pseudo abbreviation file for built in lists means it is placeholder and it path will be null meaning it has place on filesystem it is pseudo file property will therefore be set to true,public abbreviations file view model list abbreviation view model abbreviations string name,no
todo reflective access should be removed,method text fields class get declared method setup clear button field text field class object property class,no
new or modified entry type construct it from string array,external file type type custom external file type build from args val,no
to account for numbering and for uniqiefiers we must refresh cite markers,update sorted reference marks,no
open http pdf ps viewer for given link string,public static void open external viewer bib database context database context string initial link field initial field,no
general,,yes
read keybindings from keybinding repository and create table keybinding models for them,private void populate table,no
text leading up to s1 insert s2,string builder append txt piv ind,no
migrations warning for migrating review into comment field,new merge review into comment action,no
todo show detailed description of changes string builder sb new string builder html localization lang changes have been made to following metadata elements p><br>&nbsp;&nbsp sb append changes stream map unit unit key collect collectors joining <br>&nbsp;&nbsp sb append html info pane set text sb to string,return new label localization lang metadata change,no
global string constants for gui actions,@deprecated,no
put everything together, box container new box,no
check if we should italicize et al string in citations,boolean italicize style get boolean cit property oo bib style italic et al,yes
inform user to select entries first,dialog service show information dialog and wait,yes
performs change method is responsible for adding proper undo edit to named compound so change can be undone,public abstract void make change bib database context database named compound undo edit,no
set up bindings,bindings helper bind content bidirectional,no
try to contact already running jab ref,remote client remote client new remote client remote preferences get port,no
css file excel,file excel material design icon file excel,yes
opens url with users standard browser if fails popup will be shown to instruct user to open link manually and link gets copied to clipboard,public static void open browser show popup string url,no
sets runnable is invoked after task is finished irrespectively if it was successful or failed with error,public background task on finished runnable on finished,no
field editor provides various pre defined options as drop down combobox,public class tag bar extends box,no
method stores file paths of files in journal files property to global jab ref preferences pseudo abbreviation files will not be stored,private void save external files list,no
icon set tool tip text localization lang open url,table icons put standard field url icon,yes
empty search field should cause search to be cleared,if search field get text is empty,no
priority icon used for menu,special field view model priority view model new special field view model special field priority undo manager,no
checkbox marked circle outline,plain text import done material design icon checkbox marked circle outline,yes
returns currently viewed base panel,public base panel get current base panel,yes
generate keys,bibtex key pattern preferences prefs jab ref preferences get bibtex key pattern preferences,no
class is similar to @link graphic validation decoration but with different style and font based icon,public class icon validation decorator extends graphic validation decoration,no
method returns component detailing nature of change,public abstract node description,no
only remove explicit groups from entries keyword groups should not be deleted,if group get group node get group instanceof explicit group,no
are there children or children of children are matched if yes we also need to show node,return node children get source stream any match this::show node,no
if there are entries to add,if,yes
node should be generated for call as nodes can be added to scene graph only once,return icon get graphic node,no
user does not want to override cite keys,if overwrite keys,no
todo add undo panel get undo manager add edit new undoable field change entry editor get name text next abbreviation,,no
shows dialog with warnings from import or open of file,public static void show parser result warning dialog final parser result parser result final jab ref frame jab ref frame,no
popup has private access in @link auto completion binding so we use reflection to access it,@suppress warnings unchecked,no
try to strip query string if to get correct suffix,url url new url link,no
add chosen export type to last used pref to become default,globals prefs put jab ref preferences last used export exporter get name,no
create new text section from document factory and access it named interface, named child named,no
tag item in tag bar,public class tag extends box,no
todo warn if warn assignment side effects warn assignment side effects node get node get group panel frame return user aborted operation,,no
todo expand parent to make new group visible parent expand,,no
class will copy selected entry bib te key as hyperlink to url to clipboard in case entry does not have bib te key it will not be copied in case entry does not have url will only copy bib te key,public class copy bib te key and link action implements base action,no
check whether there is icon defined for file type,for external file type file type external file types get default external file types,no
needs to fixed because it gives asdf when going prefs get lyxpipe,file lp new file command path,no
concatenates formatted message of given log event by using new line separator,private string get log messages as string list log event view model messages,no
creates background task that first runs task and based on result runs second task,public background task then function background task next task factory,no
opens new group dialog and add resulting group to specified group,public void add new subgroup group node view model parent,no
on ses there is generic application available to handle file opening so use one,return,no
generate new cite keys for entry,final named compound compound new named compound localization lang autogenerate bib te keys,no
default value,string text default pat get text,yes
customization of appearance parameters,public appearance prefs tab dialog service dialog service jab ref preferences prefs,no
remove node then insert children,group tree node removed node cursor,no
remove current possible suggestions,public void clear suggestions,yes
get entries and check if it makes sense to perform operation,entries base panel get selected entries,no
method first saves external files to internal list then writes abbreviations to files and finally updates abbreviations auto complete it basically calls @link save external files list save journal abbreviation files and finally @link journal abbreviation loader update journal abbreviation preferences,public void save everything and update auto completer,no
do not open original file,result get database context clear database file,no
finds entry in list best fitting specified entry even if entries get score above zero entry is still returned,private static bib entry best fit bib entry target entry list bib entry entries,no
more bps to check we found matching one,break,no
default pattern,protected final text field default pat new text field,yes
we try to find page is displayed in center of viewport,optional document viewer page in middle of viewport optional empty,no
function to get command name in case it is different from application name,protected string get command name,no
check if we are running acceptable version of java,final build info build info globals build info,yes
@inherit doc,@override,yes
alt on windows,link,no
general information, box context panel new box 10,no
compare normalized markers since actual markers can be different,string markers norm cit markers,no
keywords from first entry have to be added,bib entry first entry entries get,no
must be set here because in initialize button is still null,btn connect disable property bind view model form validation valid property not,no
everything is ok,return null,yes
see if we can find type with matching name in default type list,external file type found null,no
we need to wait with setting divider since it gets reset few times during initial set up,change listener boolean,no
we calculate new hit value we could be more intelligent and try to figure out new number of hits based on entry change for example previously matched entry gets removed hits hits,background task,no
it was modified remove entry from defaults list since type has not been removed,def types remove found,no
can not rename remote links,return,no
remember modified children for redo, modified subtree clear,no
if given component is visible it will be hidden and other way around,public void toggle side pane type type,yes
interface presents user described paste behaviour applying to paste method,@functional interface,no
icon set too localization lang open pdf,table icons put standard field pdf icon,yes
first get list of default file types as starting point,list external file type types new array list<> get default external file types,no
name to change to is already in database so we ca not comply,logger info cannot rename string mem to disk because name,no
look up external file type registered with name if,public optional external file type get external file type by name string name,no
todo add undo redo ce add edit new undoable insert entry panel get database entry,,no
action concerned with generate new sub database from latex aux file,public class new sub library action extends simple command,no
starts search of unlinked files according chosen directory and file type selection search will process in separate thread and progress indicator will be displayed,private void start search,no
gets filename for current linked file and compares it to new suggested filename,public boolean is generated name same as original,no
modified externally,field changes add new field change view model field mem entry tmp entry mem or else null tmp get disk get,no
responsible for managing of threads except gui threads in jab ref,public class jab ref executor service,no
logic is done in open it even raising existing panel,get open database action open file file true,no
focuses given field,public void request focus field field name,yes
set paste action handler variable to passed handler,public void set paste action handler paste action handler handler,yes
gets invoked if user selects different group we need to notify @link state manager about change so that main table gets updated,private void group node view model new value,no
merge entries,for bib entry entry pr get database get entries,no
panel contains two comboboxes and add button,private grid pane get selector panel,no
gets invoked if user changes active database we need to get new group tree and update view,private void on active database changed optional bib database context new database,no
use application if app is specified and just open filename otherwise,string cmd application null application is empty new string bin open,no
set default values overwritten if edited group null,keyword group search field set text prefs get jab ref preferences groups default field,no
check if cloned entry has crossref field,cloned entry get field standard field crossref if present crossref,yes
print icon used for menu,special field view model printed view model new special field view model special field printed undo manager,no
return string array representing file type is used for storage into preferences and same array can be used to construct file type later using string constructor,private string get string array representation external file type type,no
must be here,abbreviation abbreviation journal abbreviation repository get abbreviation text get,yes
method will write abbreviations of abbreviation file to file on file system it essentially will check if current file is built in list and if not it will call @link abbreviation writer write or create,public void write or create throws io exception,no
constructs @link image for image representing given function in resource file listing images @param name name of icon such as open save save as etc @link image for function,private static image get image fx string name,no
need to toggle twice to make sure everything is selected,root set selected true,no
fetch entries from gui,global bibtex key pattern keypatterns get key pattern as global bibtex key pattern,no
icon set tool tip text localization lang open file file type get name,table icons put file type get field icon,yes
default context menu with specific menu for normalizing person names regarding to bib tex rules,public static supplier list menu item get name menu final text input control text input,no
update map of uniquefiers for benefit of both following generation of new citation markers and for method builds bibliography,uniquefiers put key string value of char uniq,no
check if of files are already open,for iterator path iterator files to open iterator iterator has next,no
automatically imports files given as arguments,public void string filenames,yes
return null if directory is not valid,if directory null or directory exists or directory is directory,yes
set bounds graphics environment get local graphics environment get maximum window bounds window location pw new window location this jab ref preferences pos jab ref preferences pos jab ref preferences size jab ref preferences size pw display window at stored location,,yes
css file find,auto file link material design icon file find,no
file,table icons put standard field file icon,yes
here we store names of current files if there is current file we remove previously stored filename,if filenames is empty,no
add to group,add to groups entries state manager get selected group database,yes
subtree was added or removed,private final group tree node subtree backup,no
run recursive search in background task,public void search button clicked,no
read typical java property url into map currently does not support escaping of character it simply looks for first to determine where key ends both key and value is trimmed for whitespace at ends,fixme prefix can be removed,no
asks user for confirmation that he really wants to delete file from disk or just remove link,public boolean delete,no
different actions depending on where user releases drop in target row bottom top import entries center link files to entry,switch control helper get dropping mouse location row event,no
empty tab without database,if panel null,yes
exporter view model wraps template exporter from logic and is used in exporter customization dialog view and view model,,no
preferences panel for key generation,class bibtex key pattern pref tab extends bibtex key pattern panel implements preferences tab,no
insert factory of loader, set insert imp loader activate com sun star comp loader java loader null null null,yes
we try to to prevent publishing changes in search field directly to search task takes time for larger group structures,final timer search task fx timer create duration of millis 400,no
build individual layout cards for group, box explicit panel create options explicit group,no
installs style file and provides live reloading live reloading has to be turned on by setting code> djabref theme css< code property there two possible modes when only code> djabref theme css< code is specified then standard code base css< code is found will be watched and on changes in file style sheet will be reloaded and changes are immediately visible when path to css file is passed to code> djabref theme css< code then given style is loaded in addition to base css file changes in specified css file lead to immediate redraw of interface when working from ide usually means that code base css< code is located in build folder to use css file is located in sources directly full path can be given as value for vm option code> djabref theme css path to src base css code,public class theme loader,no
set entry number in case is included in preview layout,exporter factory entry number,no
for reason graphic is not set correctly so let fix to do find way to reuse jab ref icon view,button graphic property unbind,no
pass other keys to children,,no
class is indirectly constructed by log4j,@suppress warnings unused,no
different actions depending on where user releases drop in target row bottom top insert source row before after row center add as child,switch mouse location,no
opens file browser of folder of given file if possible file is selected,public static void open folder and select file path file link throws io exception,no
fixme prefix can be removed,private static map string string url string prefix,no
class represents removal of entry constructor needs references to database entry and map of open entry editors latter to be able to close entry editor if it is opened after undo and removal is then undone,public class undoable remove entry extends,no
we know that tmp entry is not equal to disk entry check if it has been modified locally as well since last tempfile was saved,boolean is modified locally duplicate check compare entries strictly mem entry tmp entry,no
preferences might be not initialized in tests return immediately todo replace ugly workaround by proper injection propagation,if globals prefs null,no
merged bib entry,public bib entry get merge entry,yes
focuses search field if it is not focused,public void focus,yes
decide whether to show tab for given entry,public abstract boolean should show bib entry entry,yes
register undo redo listener,base panel get undo manager register listener new undo redo event manager,yes
icon set tool tip text localization lang open ar xiv url,table icons put standard field eprint icon,yes
reporting etc method is called on event dispatch thread after push entries returns,void operation completed,no
creates object can undo redo edit event,public undoable add or remove group group tree node view model groups root,no
we have to use reflection since table util is not visible to us,try,no
insert acceptor, set insert imp loader activate com sun star comp connections acceptor null null null,yes
todo font padding customization set font gui globals current font,,no
we have sorted citation markers according to order of appearance so we simply count up for marker referring to new entry,list integer num new array list<> keys length,no
specific importer,parser result pr importer get import database filename globals prefs get default encoding,yes
get office component context, component context context bootstrap bootstrap loader,no
type of editing add node remove node keep children remove node and children,private final int edit type,no
font configuration, box font box new box,yes
shift on windows or modifier,move,no
gui component allows editing of fields of bib entry one shows up when you double click on entry in table it hosts tabs required general optional and buttons to left entry editor also registers itself to event bus receiving events whenever field of entry changes enabling text fields to update themselves if change is made from somewhere else,public class entry editor extends border pane,no
todo float marked entries model update marking state globals prefs get boolean jab ref preferences float marked entries,,no
ignore,return new read only string wrapper,yes
find default choice if,exporter default choice exporters stream,yes
marker appears for more than one unique entry,int uniq,no
constructs @link tree table cell based on view model of row and bunch of specified converter methods,public class view model table row factory implements callback table view table row,no
override used newline character with one stored in preferences preferences return system newline character sequence as default,os newline globals prefs get jab ref preferences newline,no
for cited key,for string key cited,yes
connection string,string connect uno socket host localhost port 2083 urp;star office component context,yes
generates plain text string out of preview and copies it additionally to html to clipboard wysiwyg editors use html plain text editors text,protected static string process preview list string citations,no
ieee tran,populate sub menu items ieee tran ieee tran entry type definitions entry undo manager,yes
sort visible components by preferred position,visible components sort new preferred index sort,yes
method should be called after storing preferences calls appropriate method in view model,list string get restart warnings,no
should be done after we know it was successfully opened,parser result parser result open database load database file to file,no
find default directory for field type,list string dir database context get file directories field globals prefs get file preferences,yes
set up annotation list,annotation list get selection model set selection mode selection mode single,yes
bootstraps initial component context with service manager and basic jurt components inserted,public static component context create initial component context map string object context entries throws exception,no
redo,else,no
generate keys for given entries,private void generate keys list bib entry entries,yes
action keeps reference to url when activated it shows help dialog unless it is already visible and shows url in it,public class help action extends simple command,no
only serialize linked files not ones are automatically found,list linked file files to serialize files stream,no
puts value of concrete class in map previous content stored in map is removed,public void put value class type value,no
create default local component context, component context local context create initial component context map string object null,yes
update appearance of group,any selected entries matched invalidate,no
checks if there are duplicates to given entry in list of entries to be imported,private optional bib entry entry,no
if there are entries to remove,if to remove is empty,yes
general fields from preferences,for map entry string set field tab entry editor preferences get entry editor tab list entry set,no
class for creating information about customizable entry editor tabs,public final class entry editor tab list,no
do not make class final as it otherwise ca not be mocked for tests,public class external file types,no
refresh reference marks with citation markers we computed,boolean had bib section get bookmark range oo bib base bib section name null,no
save database,boolean success save database target path false,yes
class defines interaction with external application in form of pushing selected entries to it,public interface push to application,no
hyperlink click listener for javafx web view to open links on click in browser code adapted from href https: stackoverflow com 33445383 >https: stackoverflow com 33445383,public class open hyperlinks in external browser implements change listener worker state event listener,no
constructs @link tree table cell based on view model of row and bunch of specified converter methods,public class view model tree table cell factory implements callback tree table column tree table cell,no
looks up url for image representing given function in resource file listing images,public static url get icon url string name,no
quick hack to disable navigating,browser add event filter javafx scene input mouse event javafx scene input mouse event::consume,no
use received map directly,correct entries entries,yes
register for changes,for observable observable new entry get observables,yes
empty,public suggestion providers,yes
disables selection,public class no selection model extends multiple selection model,no
moves given component down,public void move down side pane component comp,yes
for case that password is already set,prefs clear password,no
updated original entry with new fields,set field joint fields new tree set<> comparator comparing field::get name,no
gui for tab displaying article recommendations based on currently selected bib entry,public class related articles tab extends entry editor tab,no
todo null todo null todo null,group tree node new parent root get node get descendant path to new parent get,yes
date picker with configurable datetime format where both date and time can be changed via text field and date can additionally be changed via java fx default date picker also supports incomplete dates first recall how date picker normally works user selects date in popup sets value property to selected date converter converter property is used to transform date to string representation and display it in text field idea is now to intercept process and add additional step user selects date in popup sets value property to selected date date is converted to @link temporal accessor enriched by time component using add current time local date string converter string converter property is used to transform temporal accessor to string representation and display it in text field inspiration taken from,public class temporal accessor picker extends date picker,no
simple command does not track progress of action,public abstract class simple command extends command base,no
create new entry and add it to undo stack remove other two entries and add them to undo stack is not working,named compound ce new named compound localization lang merge entries,no
if we are not allowed to overwrite values check if there is non empty value already for entry for new field,optional string val in new field entry get field new field,no
holds version in memory check if it has been modified,this in mem in mem,no
class provides view model for abbreviation objects can also define placeholder objects of abbreviations is indicated by using @code pseudo abbreviation property,public class abbreviation view model,no
todo implement jump to entry todo add toolitp for tag localization lang jump to entry feature was removed while converting linked entries editor to java fx right now there is nice way to re implement it as we have good interface to control focus of main table except directly using jab ref frame class as below parsed entry link get linked entry if present frame get current base panel highlight entry,,no
base panel get preview panel update layout preferences get preview preferences,,yes
mouse location within cell when dropping gesture occurs,public enum dropping mouse location,no
store changes to table preferences method is called when user clicks ok,@override,no
todo rework so that we do not rely on jab ref frame and not complete preferences,this frame frame,no
util class for searching files on file system are not linked to provided bib database,public class unlinked files crawler extends background task check box tree item file node wrapper,no
entry type unknown treat fields as required,fields add all entry get fields,no
switch to currently selected entry if mode is changed to live,,no
returns list of base panel,public list base panel get base panel list,yes
we need to wrap list since otherwise sorting in table does not work,entries sorted new sorted list<> entries filtered,no
creates box of related article information to be used in stack pane displayed in related articles tab,private scroll pane get related article info list bib entry list fetcher,no
redo change,base remove string string get id,yes
refresh cite markers in document,public list string refresh cite markers list bib database databases oo bib style style,yes
todo swing utilities invoke later undo put value action short description event get undo description ;undo set enabled event is can undo ;redo put value action short description event get redo description ;redo set enabled event is can redo,,no
move children to new node then add new node,group tree node new node subtree backup copy subtree,no
checks whether file exists or if new file should be opened file will be added to set of journal abbreviation files if file also exists abbreviations will be read and written to abbreviations property,private void open file path file path,no
todo reflective access should be removed,class clazz table util,no
if user does not change anything with action we do not do anything either even output message,,no
enriches suggestion provider by given set of content selector values,public class content selector suggestion provider implements string,no
revert change,try,yes
always fill out available space,set pref height double positive infinity,no
good bye,tear down jab ref filenames,yes
enrich auto completion by content selector values,try,no
name reference, named named uno runtime query interface named class bookmark,yes
log event will be forwarded to @link log messages archive,@override,no
to do after conversion of tabs to mvvm rework interface and make valid settings bindable button btn save button this get dialog pane lookup button save button btn save disable property bind view model valid settings valid property not,,no
frame titles,public static final string frame title jab ref,yes
set to true in case command could not be executed if file is not found set to true in case tunnel to program if one is used does not operate set to true if corresponding path is not defined in preferences,protected boolean could not call,no
add context menu only for non null items,row context menu property bind,no
copies selected entries and formats them with selected citation style or preview then it is copied to clipboard worker can not be reused,public class,no
class defines type of external files can be linked to from jab ref class contains enough information to provide icon standard extension and link to application handles files of type,public class custom external file type implements external file type,no
error stream has been closed see if there were errors,if sb to string trim is empty,no
in case it did not work,catch io exception excep,yes
file filter implementation allows only files are not linked in of @link bib entry of specified @link bib database br br file filter sits on top of file filter implementation it first consults only if major filefilter has accepted file implementation will verify on file,public class unlinked pdf file filter implements file filter,no
sort entries into current members and non members of group current members will be removed current non members will be added,list bib entry to remove new array list<> entries size,no
for only full auto completer returns full name smith bob for only abbreviated auto completer returns first name abbreviated smith for both auto completer returns versions,public enum auto complete first name mode,no
resolve bibtex key from citation reference marker name and look up index of key in list of keys,,no
send event to trigger changes,post undo redo event,no
class provides model for managing journal abbreviation lists it provides necessary methods to create modify or delete journal abbreviations and files to visualize model one can bind properties to ui elements,public class manage journal abbreviations view model extends abstract view model,no
makes sure that given component is visible,public void show side pane type type,yes
todo show parserwarnings if not here for import format reader unknown format import imports parser result warning dialog show parser result warning dialog parser result frame,if bibtex result null,no
action concerned with opening existing database,public class open database action extends simple command,yes
icon set tool tip text priority view model get localization,table icons put special field priority icon,yes
check if type has changed,if identical types type radio buttons is empty type radio buttons get is selected,no
in case string converter was provided use default strategy,if this string converter null,no
installs base css file as stylesheet in given scene changes in css file lead to redraw of scene using new css file,public void install css scene scene jab ref preferences preferences,no
todo add undo and display message move group change undo new move group change group tree node view model source get parent get node source get node get position in parent target get node target get child count,,no
except file,return pathname true,yes
current version of installed jab ref,private final version installed version,yes
occurrence or at end check if there are path separators in suffix if so it is definitely not proper suffix so we should give up,if stripped link substring stripped link index index of,yes
method causes open base panels to set up tables anew when called from prefs dialog3 updates to new settings,public void setup all tables,no
pretend that we just switched to current file in order to refresh display,notify new selected file current file,no
pass other keys to parent,,yes
must be executed after initialization of view otherwise it does not work,platform run later,no
remember type in case we need to uniquefy,types type,no
steps to reproduce,string how to reproduce steps to reproduce:\n\n1 \n2 \n3,yes
do not open original file,pr get database context clear database file,yes
we have to put entry editor previous before because otherwise decrease font size is found first,entry editor previous panel entry editor previous panel localization lang entry editor previous panel ctrl+minus key binding category view,no
update active search query when switching between databases,state manager active search query property set new base panel get current search query,no
create help button for currently selected fetcher,stack pane help button container new stack pane,yes
in case of removing node but keeping of children number of children has to be stored,private final int subtree root child count,no
