id,type,comment,code,Expected
600,Line,this might be the PDF already as we follow redirects,"if (type.getMimeType().startsWith(""application/pdf"")) {",
601,Line,this seems not working,notificationPane.show(validationMessage.getMessage());,
602,Line,this should be impossible anyway,return;,
603,Javadoc,This starts the export of all files of all selected nodes in the file tree view.,private void startExport() {,
604,Line,"This String is used in the encoded list in prefs of external file type modifications, in order to indicate a removed default file type:","private static final String FILE_TYPE_REMOVED_FLAG = ""REMOVED"";",
605,Line,"This worker stored the style as filename. The CSLAdapter and the CitationStyleCache store the source of the style. Therefore, we extract the style source from the file.",String styleSource = null;,
606,Line,"TODO: Add undo if (!undo.isEmpty()) { ce.addEdit(UndoableChangeEntriesOfGroup.getUndoableEdit(new GroupTreeNodeViewModel(node), undo)); }",},
607,Line,"TODO: Add undo if (!undo.isEmpty()) { mPanel.getUndoManager().addEdit(UndoableChangeEntriesOfGroup.getUndoableEdit(mNode, undo));",},
608,Line,TODO: Move to OS.java,public static NativeDesktop getNativeDesktop() {,
609,Line,TODO: Null!,&& !(getNode().getParent().get().getGroup() instanceof AllEntriesGroup);,
610,Line,TODO: panel.getUndoManager().addEdit(ce);,,
611,Javadoc,TODO: Remove as soon as possible,public class CustomJFXPanel {,
612,Line,"TODO: warn if assignment has undesired side effects (modifies a field != keywords) if (!WarnAssignmentSideEffects.warnAssignmentSideEffects(group, groupSelector.frame)) { return; // user aborted operation }",,
613,Line,TODO: we should also check isNodeDescendant,boolean canDropOtherGroup = dragboard.hasContent(DragAndDropDataFormats.GROUP);,
614,Javadoc,Tries to find a fulltext URL for a given BibTex entry. Currently only uses the DOI if found.,@Override,
615,Javadoc,Tries to infer the database type by examining a BibDatabase database. All checks are based on the case-insensitive comparison of entry tag names. Only standard BibTex and Biblatex entry types are considered in the decision process. 1. Check if any of the entries is a type exclusive to Biblatex 2. Check if any exclusive Biblatex fields are present 3. Otherwise return BibTex,public static BibDatabaseMode inferMode(BibDatabase database) {,
616,Line,update tab titles,updateAllTabTitles();,
617,Line,Update tables:,if (bf.getDatabase() != null) {,
618,Line,use configured sorting strategy,List<FieldComparator> fieldComparators = saveOrder.get(),
619,Line,Use the currently shown positions of all visible components,int index = 0;,
620,Line,Used to detect string references in strings,"private static final Pattern REFERENCE_PATTERN = Pattern.compile(""(#[A-Za-z]+#)"");",
621,Javadoc,Variable that contains user-defined behavior for paste action.,private PasteActionHandler pasteActionHandler = () -> {,
622,Line,Warning before overwriting is only relevant if overwriting can happen:,warnBeforeOverwriting.setDisable(dontOverwrite.isSelected()));,
623,Line,Warp everything in a scroll-pane,ScrollPane scrollPane = new ScrollPane();,
624,Line,"we are the ""last"" to ask we don't have anything left",return getLastLevelBibtexKeyPattern(entryType);,
625,Line,"We check if the field has changed, since we don't want to mark the base as changed unless we have a real change.","if (!database.getPreamble().orElse("""").equals(newPreamble)) {",
626,Line,We found the next string ref. Append the text up to it.,if (next > 0) {,
627,Line,We have to use reflection since TableUtil is not visible to us,try {,
628,Line,"We have to use the model class here, as the content of the dragboard must be serializable","content.put(DragAndDropDataFormats.LINKED_FILE, selectedItem);",
629,Line,We need to keep a reference to the binding since it otherwise gets discarded,fieldBinding = entry.getFieldBinding(field);,
630,Line,we removed and added entries,"undoRemove.addEdit(UndoableChangeEntriesOfGroup.getUndoableEdit(this, changesAdd));",
631,Line,"We use some explicit casts of the form ""(T) this"". The constructor ensures that this cast is valid.","@SuppressWarnings(""unchecked"") public abstract class TreeNode<T extends TreeNode<T>> {",
632,Javadoc,"Write all strings in alphabetical order, modified to produce a safe (for BibTeX) order of the strings if they reference each other.",private void writeStrings(BibDatabase database) throws IOException {,
633,Line,Write meta data.,"writeMetaData(bibDatabaseContext.getMetaData(), preferences.getGlobalCiteKeyPattern());",
634,Line,Write preamble if there is one.,"writePreamble(bibDatabaseContext.getDatabase().getPreamble().orElse(""""));",
635,Line,Write to file:,"exporter.export(panel.getBibDatabaseContext(), tmp,",
