comment,code,non-information
 Add edit field for Bibtex key,fields.add(InternalField.KEY_FIELD);,no
 Remove reference marks n't look like JabRef citations,List<String> tmp = new ArrayList<>();,no
 Although entries redefined without use also updates linkSourceBase,"Map<BibEntry, BibDatabase> entries = findCitedEntries(databases, cited, linkSourceBase);",no
 for remaining entries intersection to used approach ensures that one empty keyword list leads to empty set of common keywords,for (BibEntry entry : entries) {,no
 very simple implementation of @link TaskExecutor interface submitted task invoked in separate thread,public class DefaultTaskExecutor implements TaskExecutor {,no
 buttons in base dialogs react on enter,if (event.getCode() == KeyCode.ENTER) {,no
 but not for entry,refKeys.get(marker).add(currentKey);,no
 If we found it remove it from type list,if (toRemove != null) {,yes
 main window of application,public class JabRefFrame extends BorderPane {,no
 Redo change,try {,no
 Tools for automatically detecting OpenOffice or LibreOffice installations,public class DetectOpenOfficeInstallation {,no
 Heuristic missed so try to page number from first shown page,currentPage.set(,no
 Assuming current page A4 or same aspect ratio,setPageWidth(desiredPageDimension.getWidth(Math.sqrt(2)) + delta);,no
 Check if there two entries selected,List<BibEntry> selectedEntries = basePanel.getSelectedEntries();,yes
 class controls user interface of journal abbreviations dialog ui elements and layout defined in fxml file,public class ManageJournalAbbreviationsView extends BaseDialog<Void> {,no
 only add tab if DB not already open,Optional<BasePanel> panel = getBasePanelList().stream(),no
 class represents change of type for entry,public class UndoableChangeType extends AbstractUndoableJabRefEdit {,no
 General,,no
 Sets title of main window,public void setWindowTitle() {,no
 check mode of currently used DB,if (panel != null) {,no
 parent = root > just add,this.moveTo(target);,no
 write entries using sw used later to form email content,BibEntryWriter bibtexEntryWriter = new BibEntryWriter(,no
 Opens given files If one of it null or 404 nothing happens,"public void openFiles(List<Path> filesToOpen, boolean raisePanel) {",no
 Ask for consent to send data to Mr. DLib on first time to tab,if (preferences.isMrdlibAccepted()) {,no
 Only first of extensions gotten from FileType saved into class using get(0,String extensionString = exporter.getFileType().getExtensions().get(0);,no
 path to edited subtree 's root node,private final List<Integer> m_pathToNode;,no
 Up to version 2.4b mime type not included,"mimeType = """";",no
 ApplicationInsights Java Copyright c Microsoft Corporation rights reserved MIT License Permission hereby granted free of charge to person obtaining copy of software and associated documentation files Software to deal in Software without restriction including without limitation rights to use copy modify merge publish distribute sublicense and/or sell copies of Software and to permit persons to whom Software furnished to so subject to following conditions above copyright notice and permission notice shall included in copies or substantial portions of Software SOFTWARE IS PROVIDED AS IS WITHOUT WARRANTY OF KIND EXPRESS OR IMPLIED INCLUDING BUT NOT LIMITED TO WARRANTIES OF MERCHANTABILITY FITNESS FOR PARTICULAR PURPOSE AND NONINFRINGEMENT IN EVENT SHALL AUTHORS OR COPYRIGHT HOLDERS BE LIABLE FOR CLAIM DAMAGES OR OTHER LIABILITY WHETHER IN ACTION OF CONTRACT TORT OR OTHERWISE ARISING FROM OUT OF OR IN CONNECTION WITH SOFTWARE OR USE OR OTHER DEALINGS IN SOFTWARE,,no
 On Windows store application as empty if Default option selected or if application name empty,if (defaultApplicationSelectedProperty.getValue() || application.isEmpty()) {,no
 Creates list of files leaf nodes in tree structure selected,private List<Path> getFileListFromNode(CheckBoxTreeItem<FileNodeWrapper> node) {,no
 css server plus,ADD_ROW(MaterialDesignIcon.SERVER_PLUS),yes
 method returns enum constant value,public String getConstant() {,yes
 Copies doi url to clipboard,public class CopyDoiUrlAction extends SimpleCommand {,no
 Update type label,"TypedBibEntry typedEntry = new TypedBibEntry(entry, databaseContext.getMode());",no
 Update key list to match new sorting,for (int j = 0; j < cEntries.length; j++) {,no
 Runs given task and returns Future representing task,<V> Future<V> execute(BackgroundTask<V> task);,yes
 Alt on Windows,"LOGGER.debug(""Mode LINK"");",no
 Runs cleanup on entry and records change,"private void doCleanup(CleanupPreset preset, BibEntry entry, NamedCompound ce) {",no
 action can invoked without open database so we to check if we one before trying to invoke methods to execute changes in preferences,,no
 Set up list of external file types either from default values or from values recorded in Preferences,private void updateExternalFileTypes() {,no
 Notifies tab it got focus and should display given entry,public void notifyAboutFocus(BibEntry entry) {,no
 handled by FX in TextInputControl#paste,break;,no
 File n't exist so we ca n't move it,"dialogService.showErrorDialogAndWait(Localization.lang(""File not found""), Localization.lang(""Could not find file '%0'."", linkedFile.getLink()));",yes
 Opens Edit Group Dialog and changes given group to edited one,public void editGroup(GroupNodeViewModel oldGroup) {,no
 We ca n't watch files directly so monitor parent directory for updates,Path directory = file.toAbsolutePath().getParent();,no
 Extract list of bibtex keys from reference mark name,public List<String> parseRefMarkName(String name) {,no
 leave expansion state of tree item as it,this.draggedItem.setExpanded(this.draggedItem.isExpanded());,no
 Display link to expand text,if (!this.getChildren().contains(moreLink)) {,no
 Start looking at changes,"BibDatabaseDiff differences = BibDatabaseDiff.compare(referenceDatabase, databaseOnDisk);",no
 change root group even though it 'll AllEntries anyway,root.setGroup(changedGroups.getGroup());,no
 When mime type included array length should 5,mimeType = val[2];,no
 Loop through available databases,for (BibDatabase loopDatabase : databases) {,yes
 Replace entries by merged entry,entries.add(diag.getMergedEntry());,no
 if value==null and then call nullField omitted as updatefield also handles value==null,"List<FieldChange> changes = SpecialFieldsUtils.updateField(specialField, value, be, nullFieldIfValueIsTheSame, Globals.prefs.isKeywordSyncEnabled(), Globals.prefs.getKeywordDelimiter());",no
 storing backup of whole subtree not required when children kept,m_subtreeBackup = editType != UndoableAddOrRemoveGroup.REMOVE_NODE_KEEP_CHILDREN ? editedNode.getNode(),no
 Inserts citation into HTML body and copies it to clipboard,protected static ClipboardContent processHtml(List<String> citations) {,no
 Only one linked file > open directly,"LinkedFileViewModel linkedFileViewModel = new LinkedFileViewModel(linkedFiles.get(0), entry.getEntry(), database, Globals.TASK_EXECUTOR, dialogService, Globals.prefs.getXMPPreferences(), Globals.prefs.getFilePreferences(), externalFileTypes);",no
 If not start GUI,"new JabRefGUI(mainStage, argumentProcessor.getParserResults(), argumentProcessor.isBlank());",yes
 empty,},yes
 After adding databases go through and see if post open actions need to done For instance checking if we found new entry types can imported or checking if database contents should modified due to new features in version of JabRef Note that we to check whether i not go over getBasePanelCount because importToOpen might used adds to loadedDatabases but not to getBasePanelCount,,no
 New ZIP file chooser,public ZipFileChooser(FileSystem zipFile) throws IOException {,yes
 expand node and children on drag over,dragExpansionHandler.expandGroup(row.getTreeItem());,yes
 TODO merge with import,"factory.createMenuItem(StandardActions.MERGE_DATABASE, new OldDatabaseCommandWrapper(Actions.MERGE_DATABASE, this, stateManager)),",no
 css code equal,"FIND_DUPLICATES(MaterialDesignIcon.CODE_EQUAL),",yes
 Find entries in clipboard,List<BibEntry> entriesToAdd = Globals.clipboardManager.extractData();,yes
 Access Child_Section 's XTextContent interface and insert it into document,"XTextContent xChildSection = UnoRuntime.queryInterface(XTextContent.class, xChildNamed);",no
 Set visibility of progress bar in right end of status line at bottom of frame,public void setProgressBarVisible(final boolean visible) {,no
 Converts path relative to base path into class name,"private static String pathToClass(String basePath, Path path) {",no
 following necesary to initiate drag and drop in javafx although we n't need contents It n't work without,ClipboardContent content = new ClipboardContent();,no
" maskText(""A = A",boolean maskText = (textInputControl instanceof PasswordField);,no
 Use correct viewer even if pdf and ps mixed up,"String[] split = file.get().getFileName().toString().split(""\\."");",no
 interface defines potential actions may need to taken after opening BIB file into JabRef can for instance file upgrade actions should offered due to new features in JabRef and may depend on e.g. JabRef version file last written by interface introduced in attempt to add such functionality in flexible manner,public interface GUIPostOpenAction {,no
 Warning before overwriting only relevant if overwriting can happen,warnBeforeOverwriting.setDisable(dontOverwrite.isSelected());,no
 TODO Remove copy as soon as one included in AI compatible with log4j 3,public final class ApplicationInsightsLogEvent extends ApplicationInsightsEvent {,no
 insert connector,"xSet.insert(xImpLoader.activate(""com.sun.star.comp.connections.Connector"", null, null, null));",yes
 As there concept like empty node / icon we return simply other icon,return JabRefIcons.GROUP_INTERSECTION.getGraphicNode();,no
 Add bibDatabases databases to frame,boolean first = false;,no
 simple implementation of generic suggestion provider callback complexity of suggestion generation O(n where n number of possible suggestions,"public abstract class SuggestionProvider<T> implements Callback<ISuggestionRequest, Collection<T>> {",no
 Returns newer version excluding non - stable versions except if installed one unstable too If newer version found then empty optional returned,private Optional<Version> getNewVersion() throws IOException {,no
 Prints connection problem to status bar and shows dialog if it executed manually,"private void showConnectionError(Exception exception, boolean manualExecution) {",no
 css file powerpoint,"FILE_POWERPOINT(MaterialDesignIcon.FILE_POWERPOINT),",yes
 Detect Google search URL,"private static final String GOOGLE_SEARCH_EXP = ""^https?://(?:www\\.)?google\\.[\\.a-z]+?/url.*"";",yes
 update keywords,keywords.removeAll(keywordsToRemove);,yes
 css auto fix,"AUTO_GROUP(MaterialDesignIcon.AUTO_FIX),",yes
 Bootstraps initial component context from native UNO installation See also < code > cppuhelper / defaultBootstrap_InitialComponentContext()</code >,"public static final XComponentContext defaultBootstrap_InitialComponentContext(String ini_file, Map<String, String> bootstrap_parameters) throws Exception {",no
 css twitter,"TWITTER(MaterialDesignIcon.TWITTER),",yes
 Drag and drop support,row.setOnDragDetected(event -> {,no
 File on disk changed thus look for notable changes and notify listeners in case there such changes,"ChangeScanner scanner = new ChangeScanner(database, referenceFile);",no
 Append given value to given field for entries in Collection method DOES NOT update UndoManager but returns relevant CompoundEdit should registered by caller,"private static UndoableEdit massAppendField(Collection<BibEntry> entries, Field field, String textToAppend) {",no
 We to use reflection to associated label,try {,no
 if so mark base changed Prevent Undo button from removing change marking,if (changed) {,no
 passed file we take first one should focused,String focusedFile = bibDatabases.stream(),no
 Decides if content stored in given Dragboard can droped on given target row Currently following sources allowed group will added as subgroup on drop entries if group implements @link GroupEntryChanger will assigned to group on drop,public boolean acceptableDrop(Dragboard dragboard) {,no
 string removed or renamed locally We guess that it removed,"BibtexString bs = new BibtexString(label, disk);",no
 Returns consent dialog used to ask permission to send data to Mr. DLib,private ScrollPane getPrivacyDialog(BibEntry entry) {,no
 Left text pane,if (leftString.isPresent()) {,no
 Initializes components layout data structure and actions in dialog,private void initialize() {,no
 Add type change menu,"ContextMenu typeMenu = new ChangeEntryTypeMenu().getChangeEntryTypePopupMenu(entry, databaseContext, undoManager);",no
 property only needed to proper IDE support in FXML files e.g. validation parameter passed to icon indeed of type @link IconTheme JabRefIcons,private ObjectProperty<IconTheme.JabRefIcons> glyph;,no
 cloud upload,"CONNECT_DB(MaterialDesignIcon.CLOUD_UPLOAD),",yes
 Removal of node and of children,public static final int REMOVE_NODE_AND_CHILDREN = 2;,yes
 worker checks if there new version of JabRef available If there it will display dialog to user offering him multiple options to proceed see changelog go to download page ignore version and remind later If versions check executed manually and latest version it will also display dialog to inform user,public class VersionWorker {,no
 If crossref entry not already in database,if (!resultDatabase.getEntryByKey(crossref).isPresent()) {,yes
 Insert it at current position,"rebuildBibTextSection(allBases, style);",no
 especially for track execute when action run same function but from different source,"public JabRefAction(Action action, Command command, KeyBindingRepository keyBindingRepository, Sources source) {",no
 Action for Save and Save as operations called from BasePanel class also used for save operations when closing database or quitting applications save operation loaded off of GUI thread using BackgroundTask Callers can query whether operation canceled or whether it successful,public class SaveDatabaseAction {,no
 default menu contains functions for changing case of text and doing several conversions,public static Supplier<List<MenuItem>> getDefaultMenu(final TextInputControl textInput) {,no
 Set headings,for (int i = 0; i < 6; i++) {,yes
 method should called after storing preferences to collect properties require restart of JabRef to load,List<String> getRestartWarnings();,no
 Creates new auto completion binding between given textInputControl and given suggestion provider,"private AutoCompletionTextInputBinding(final TextInputControl textInputControl,",yes
 We accept kinds of dates not just in format specified,return Date.parse(string).map(Date::toTemporalAccessor).orElse(null);,no
 whole method part of background task when autodecting instances so we need to show dialog in FX thread,"Optional<DocumentTitleViewModel> selectedDocument = dialogService.showChoiceDialogAndWait(Localization.lang(""Select document""), Localization.lang(""Found documents:""), Localization.lang(""Use selected document""), viewModel);",no
 Taken from http://stackoverflow.com/a/9417836/873661,"private static BufferedImage resize(BufferedImage img, int newWidth, int newHeight) {",no
 We always want that first item selected after change also automatically selects first file on initial load,fileChoice.itemsProperty().addListener(,no
 Function to command to executed for pushing keys to cited,"@SuppressWarnings(""unused"")",no
 For reason graphic not set correctly by @link ActionUtils class so we to fix by hand,"private static void setGraphic(MenuItem node, Action action) {",no
 entry type or bibtex key will never resolved,if (InternalField.TYPE_HEADER.equals(field) || InternalField.OBSOLETE_TYPE_HEADER.equals(field),no
 Removal of single node Children if kept,public static final int REMOVE_NODE_KEEP_CHILDREN = 1;,yes
 Copyright c 2014 2015 ControlsFX rights reserved Redistribution and use in source and binary forms with or without modification permitted provided that following conditions met Redistributions of source code must retain above copyright notice list of conditions and following disclaimer Redistributions in binary form must reproduce above copyright notice list of conditions and following disclaimer in documentation and/or other materials provided with distribution Neither name of ControlsFX associated website nor names of contributors may used to endorse or promote products derived from software without specific prior written permission SOFTWARE IS PROVIDED BY COPYRIGHT HOLDERS AND CONTRIBUTORS AS IS AND EXPRESS OR IMPLIED WARRANTIES INCLUDING BUT NOT LIMITED TO IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS FOR PARTICULAR PURPOSE ARE DISCLAIMED IN EVENT SHALL CONTROLSFX BE LIABLE FOR DIRECT INDIRECT INCIDENTAL SPECIAL EXEMPLARY OR CONSEQUENTIAL DAMAGES INCLUDING BUT NOT LIMITED TO PROCUREMENT OF SUBSTITUTE GOODS OR SERVICES LOSS OF USE DATA OR PROFITS OR BUSINESS INTERRUPTION HOWEVER CAUSED AND ON THEORY OF LIABILITY WHETHER IN CONTRACT STRICT LIABILITY OR TORT INCLUDING NEGLIGENCE OR OTHERWISE ARISING IN WAY OUT OF USE OF SOFTWARE EVEN IF ADVISED OF POSSIBILITY OF SUCH DAMAGE,package org.jabref.gui.autocompleter;,no
 use property as initial source,updateA.accept(propertyB.getValue());,no
 Map containing registered external file types,private final Set<ExternalFileType> externalFileTypes = new TreeSet<>(Comparator.comparing(ExternalFileType::getName));,yes
 Workaround taken from https://bitbucket.org/controlsfx/controlsfx/issues/330/making-textfieldssetupclearbuttonfield,private void setupClearButtonField(CustomTextField customTextField) {,no
 Always overwrite keys by default,return true;,no
 We not alone there already server out there send command line arguments to other instance,if (remoteClient.sendCommandLineArguments(args)) {,no
 Process arguments,"ArgumentProcessor argumentProcessor = new ArgumentProcessor(arguments, ArgumentProcessor.Mode.INITIAL_START);",yes
 Nothing set so we use default values,"while (preferences.get(JabRefPreferences.CUSTOM_TAB_NAME + ""_def"" + i) != null) {",no
 Run actual open in thread to prevent program locking until file loaded,"BackgroundTask.wrap(() -> openIt(file, dialog.importEntries(), dialog.importStrings(), dialog.importGroups(), dialog.importSelectorWords()))",no
 It could that somehow path null for example if it got deleted in meantime,if (directory == null) {,no
 extract url parameter,"String[] pairs = query.split(""&"");",no
 Collect callables to execute in one collection,for (BibEntry entry : entries) {,no
" TODO Add undo Store undo information AbstractUndoableEdit undoAddPreviousEntries = null UndoableModifyGroup undo = new UndoableModifyGroup(GroupSelector.this groupsRoot node newGroup if undoAddPreviousEntries = = null panel.getUndoManager().addEdit(undo else NamedCompound nc = new NamedCompound(""Modify Group nc.addEdit(undo nc.addEdit(undoAddPreviousEntries nc.end();/ panel.getUndoManager().addEdit(nc if addChange.isEmpty undoAddPreviousEntries = UndoableChangeEntriesOfGroup.getUndoableEdit(null addChange",,no
 Adds filename to top of menu If it already in menu it merely moved to top,public void newFile(Path file) {,no
 view model can used for add exporter and modify exporter functionalities It takes optional exporter empty for add exporter and takes selected exporter for modify exporter returns optional exporter empty if invalid or exporter created and otherwise contains exporter to added or modified,,no
 We need to catch one here because OpenOfficePanel class loaded before connection and therefore can not directly reference or catch DisposedException in OO JAR file,throw new ConnectionLostException(ex.getMessage());,no
 css label outline,"OPTIONAL(MaterialDesignIcon.LABEL_OUTLINE),",yes
 resize policy almost same as @link TableView#CONSTRAINED_RESIZE_POLICY We make sure that width of columns sums up to total width of table However in contrast to @link TableView#CONSTRAINED_RESIZE_POLICY we size columns initially by preferred width,"public class SmartConstrainedResizePolicy implements Callback<TableView.ResizeFeatures, Boolean> {",no
 We to cast BibEntries from BibEntrySuggestionProvider to ParsedEntryLink,Collection<BibEntry> bibEntries = (Collection<BibEntry>) super.complete(request);,no
 Puts List of BibEntry in map previous content cleared,public void putBibEntries(List<BibEntry> entries) {,no
 wraps old Swing commands so that they fit into new infrastructure In long term class should removed,@Deprecated,no
 run in one minute,"}, 60000);",no
 See if there duplicate citations marks referring to different entries If so we need to use uniquefiers,"Map<String, List<String>> refKeys = new HashMap<>();",no
 TODO http://api.openoffice.org/docs/DevelopersGuide/OfficeDev/OfficeDev.xhtml#1_1_3_2_1_2_Frame_Hierarchies,,no
" TODO Print error message Localization.lang(""Error while writing + + file.toString + + ex",},no
 Parse modified file,"result = OpenDatabase.loadDatabase(diskdb.toAbsolutePath().toString(), importFormatPreferences, Globals.getFileUpdateMonitor());",no
 Represents binding between text input control and auto completion popup class slightly modified version of @link impl.org.controlsfx.autocompletion AutoCompletionTextFieldBinding works with general text input controls instead of just text fields,public class AutoCompletionTextInputBinding<T> extends AutoCompletionBinding<T> {,no
 Creates instance of @link LinkedFile based on given file We try to guess file type and relativize path against given file directories TODO Move method to @link LinkedFile as soon as @link CustomExternalFileType lives in model,"public static LinkedFile fromFile(Path file, List<Path> fileDirectories, ExternalFileTypes externalFileTypesFile) {",no
 Create default suggestion provider based on toString method of generic objects using provided stringConverter,"public static <T> SuggestionProvider<T> create(Callback<T, String> stringConverter, Collection<T> possibleSuggestions) {",no
 Remove entry,entries.remove(entry);,yes
 Repaints table with most recent font configuration,public void updateFont() {,no
 Updates timestamp of changed entries if feature enabled,class UpdateTimestampListener {,no
 Add new component,visibleComponents.add(component);,yes
 Setting character format failed so we throw exception will result in error message for user,throw new UndefinedCharacterFormatException(charStyle);,no
 Implementation of TaskExecutor runs task on current thread i.e. in sequential order class not designed to used in production but should make code involving asynchronous operations deterministic and testable,public class CurrentThreadTaskExecutor implements TaskExecutor {,no
 file matched name try to open it directly using given app,"openExternalFilePlatformIndependent(type, link);",no
 Represents viewport for page Note instances of @link DocumentViewerPage reused i.e. not page rendered in new instance but instead @link DocumentViewerPage#updateItem(Object called,"private class DocumentViewerPage implements Cell<DocumentPageViewModel, StackPane> {",no
 Set given field to given value for entries in Collection method DOES NOT update UndoManager but returns relevant CompoundEdit should registered by caller,"private static UndoableEdit massSetField(Collection<BibEntry> entries, Field field, String textToSet,",no
 Go back to relevant position,"xViewCursor.gotoRange(position, false);",no
 Displays BibEntry using given layout format,public class PreviewViewer extends ScrollPane implements InvalidationListener {,no
 Saved now exit,return true;,no
 Try to as much information from temporal accessor,LocalDate date = dateTime.query(TemporalQueries.localDate());,no
 There apparently neat way to page number from PDPage thus old style for loop,for (int i = 0; i < pages.getCount(); i++) {,no
 Read prefs information for file types,String[][] vals = StringUtil,no
 start office process,Process p = Runtime.getRuntime().exec(cmdArray);,no
 Make list of PDFs linked from entry,List<Path> files = entry.getFiles().stream(),no
 method called when dialog opened or if it made visible after hidden calls appropriate method in ViewModel,void setValues();,no
 Perform migrations,PreferencesMigrations.runMigrations();,yes
 Constructs @link TableCell based on value of cell and bunch of specified converter methods,"public class ValueTableCellFactory<S, T> implements Callback<TableColumn<S, T>, TableCell<S, T>> {",no
 store new patterns globally,prefs.putKeyPattern(keypatterns);,no
 backup of groups before modification,private final GroupTreeNode m_groupRoot;,no
 MappedList implementation based on https://github.com/corda/corda/blob/master/client/jfx/src/main/kotlin/net/corda/client/jfx/utils/MappedList.kt,"public final class MappedList<A, B> extends TransformationList<A, B> {",no
 Start of ugly hack We need to find out tabs will shown and not and remove and re - add appropriate tabs to editor We n't want to simply remove and re - add complete list of visible tabs because tabs give ugly animation looks like tabs shifting in from right hack required since tabbed.getTabs().setAll(visibleTabs changes order of tabs in editor,,no
 make sure layout set according to checkbox,cleanupEnabled.selectedProperty().addListener(new EnablementStatusListener<>(fieldFormatterCleanups.isEnabled()));,no
 shift on win or modifier,"LOGGER.debug(""Mode LINK"");",no
 expand or collapse tree item and reset time,this.dragStarted = System.currentTimeMillis();,yes
 user wants to save,try {,no
 Open file,String filePath = file.get().toString();,no
 Returns path to system 's applications folder,Path getApplicationDirectory();,yes
 Opens shared database,public class ConnectToSharedDatabaseCommand extends SimpleCommand {,yes
 parameters,if (query == null) {,yes
 will wrap built in and ieee abbreviations in pseudo abbreviation files and add them to list of journal abbreviation files,void addBuiltInLists() {,no
 url,if (decode.matches(URL_EXP)) {,yes
 First remove tabs that we not want to show,List<EntryEditorTab> toBeRemoved = tabs.stream().filter(tab -> !tab.shouldShow(entry)).collect(Collectors.toList());,yes
 Prevent right click to select group,event.consume();,no
 css close circle,"INTEGRITY_FAIL(Color.RED, MaterialDesignIcon.CLOSE_CIRCLE),",yes
 Unknown external file type instance represents file type unknown to JabRef can happen for example when database loaded contains links to files of type not defined on JabRef instance,public class UnknownExternalFileType implements ExternalFileType {,no
 Wait 500 ms then try to connect again but not wait longer than 5 min (= 600 500 ms total,if (i == 600) {,no
 Returns text formatter restricts input to integers,public static TextFormatter<String> getIntegerTextFormatter() {,no
 Format name field for table according to user preferences,public static String formatName(final String nameToFormat) {,yes
 css view list,"TOGGLE_GROUPS(MaterialDesignIcon.VIEW_LIST),",yes
 Ok we seen exact marker before,if (!refKeys.get(marker).contains(currentKey)) {,no
 Execute callables and wait for results,List<Future<Boolean>> futures = JabRefExecutorService.INSTANCE.executeAll(tasks);,no
 Stores user dialogs related to @link BackupManager,public class BackupUIManager {,no
 Nothing to here,},yes
 minimum number of selected entries to ask user for confirmation,private static final int WARNING_LIMIT = 5;,no
 Exception used to indicate that plugin attempted to set character format not defined in current OpenOffice document,class NoDocumentException extends Exception {,no
 create call with arguments We need socket pipe not work https://api.libreoffice.org/examples/examples.html,String[] cmdArray = new String[argArray.length + 2];,no
 WritableImage(getDesiredWidth getDesiredHeight,BackgroundTask<Image> generateImage = BackgroundTask,yes
 Return boolean if selected entry url or doi,private boolean isExistURLorDOI(List<BibEntry> selectEntryList) {,no
 class can used to wrap @see StringProperty inside it When wrapped Listener listening for updates to wrapped StringProperty for example because of binding to it ensured to notified on JavaFX Application Thread It should used to implement bindings where updates come in from background thread but should reflected in UI where it necessary that changes to UI performed on JavaFX Application thread,public class UiThreadStringProperty extends StringProperty {,no
 prefs.putBoolean(JabRefPreferences WINDOW_MAXIMISED getExtendedState = Frame MAXIMIZED_BOTH,,yes
 Dialog for managing term list files,public class ManageProtectedTermsDialog extends BaseDialog<Void> {,yes
 Check if path to command specified,if ((commandPath == null) || commandPath.trim().isEmpty()) {,no
 Will only happen if field exists,"mergedEntry.setField(field, leftEntry.getField(field).get());",no
 We need to make copy as instances of LogEvent reused by log4j,MutableLogEvent copy = new MutableLogEvent();,no
 perform permutation,Object[] permutedPart = new Object[to - from];,yes
 Stream.allMatch in contrast to Stream.anyMatch returns ' true for empty streams so to checked explicitly,"return Bindings.createBooleanBinding(() -> !source.isEmpty() && source.stream().allMatch(predicate), source);",yes
 If there value nothing,if ((!valToMove.isPresent()) || valToMove.get().isEmpty()) {,no
 Set default value,"Globals.prefs.put(JabRefPreferences.DEFAULT_BIBTEX_KEY_PATTERN, defaultPat.getText());",no
 Update citation list depending on selected reference,public void activeReferenceChanged(ReferenceViewModel reference) {,no
 Enable actions depend on Connect,selectDocument.setDisable(false);,no
" Deleted since it not work anymore Needs refactoring MenuItem previousPreviewLayout = new MenuItem(Localization.lang(""Previous preview layout""));previousPreviewLayout.setAccelerator(keyBindingRepository.getKeyCombination(KeyBinding > basePanel.previousPreviewStyle());MenuItem nextPreviewLayout = new MenuItem(Localization.lang(""Next preview layout""));nextPreviewLayout.setAccelerator(keyBindingRepository.getKeyCombination(KeyBinding > basePanel.nextPreviewStyle",,yes
 for types,private final TextField nameField = new TextField();,no
 We only handle ENTRY_MODIFY here so context always Path,"@SuppressWarnings(""unchecked"")",no
 Opens given URL using system browser,public static void openBrowser(String url) throws IOException {,yes
 Constructor taking two entries,"public MergeEntries(BibEntry entryLeft, BibEntry entryRight, BibDatabaseMode type) {",yes
 We create decoration pane ourselves for performance reasons otherwise it to injected later leading to complete redraw / relayout of complete scene,DecorationPane root = new DecorationPane();,no
 css eye,"READ_STATUS_READ(Color.rgb(111, 204, 117, 1), MaterialDesignIcon.EYE),",yes
 first check if valid entry selected,if (selectedKeyBinding.isNull().get()) {,yes
 Return string for displaying node name and number of children if it directory,public String getDisplayText() {,no
 Dir must folder not file,if (!Files.isDirectory(directory)) {,yes
 Set up key bindings specific for entry editor,private void setupKeyBindings() {,yes
 Bootstraps servicemanager with jurt base components registered See also UNOIDL < code > com.sun.star.lang ServiceManager</code >,public static XMultiServiceFactory createSimpleServiceManager() throws Exception {,no
 footnote 's anchor gives correct position in text,range = footer.getAnchor();,no
 See if it helps to append,"lp = new File(commandPath + "".in"");",no
 Remove annotations for current entry and reinitialize annotation / cache,cache.remove(entry);,no
 For reason graphic not set correctly so let 's fix,button.graphicProperty().unbind();,no
 Set up groups tree,groupTree.getSelectionModel().setSelectionMode(SelectionMode.MULTIPLE);,no
 Store directory for next time,preferences.setWorkingDir(path);,no
 threads will allowed to finish,this.executorService.shutdown();,no
 Fetches possibly saved data and configures control elements respectively,private void applyPreferences() {,no
 Exception used to indicate that plugin attempted to set character format not defined in current OpenOffice document,class CreationException extends Exception {,no
 Autosave,,no
 Sets indeterminate status of progress bar < p >,public void setProgressBarIndeterminate(final boolean value) {,yes
 action either canceled or unsuccessful,"dialogService.notify(Localization.lang(""Unable to save library""));",no
 Remove fields not in merged entry unless they internal fields,for (Field field : originalFields) {,no
 Text before citation,if (start > 0) {,no
 entry type,EntryType oldType = originalEntry.getType();,yes
 Display warnings if,int tabNumber = 0;,yes
 Set string associated with file type 's icon,public void setIconName(String name) {,yes
 Added comparator for Read Status,if (specialField == SpecialField.READ_STATUS) {,yes
 constructor should only called to create pseudo abbreviation file for built in lists means it placeholder and it path will null meaning it place on filesystem It isPseudoFile property will therefore set to true,"public AbbreviationsFileViewModel(List<AbbreviationViewModel> abbreviations, String name) {",no
 TODO reflective access should removed,"Method m = TextFields.class.getDeclaredMethod(""setupClearButtonField"", TextField.class, ObjectProperty.class);",no
 new or modified entry type Construct it from string array,ExternalFileType type = CustomExternalFileType.buildFromArgs(val);,no
 To account for numbering and for uniqiefiers we must refresh cite markers,updateSortedReferenceMarks();,no
 Open http / pdf / ps viewer for given link string,"public static void openExternalViewer(BibDatabaseContext databaseContext, String initialLink, Field initialField)",no
 General,,yes
 Read keybindings from keybinding repository and create table keybinding models for them,private void populateTable() {,no
 Text leading up to s1 Insert s2,"stringBuilder.append(txt, piv, ind);",no
 Migrations Warning for migrating Review into Comment field,"new MergeReviewIntoCommentAction(),",no
" TODO Show detailed description of changes StringBuilder sb = new StringBuilder < html > + Localization.lang(""Changes made to following metadata elements + < p><br>&nbsp;&nbsp sb.append(changes.stream().map(unit > unit.key).collect(Collectors.joining(""<br>&nbsp;&nbsp sb.append(""</html > infoPane.setText(sb.toString","return new Label(Localization.lang(""Metadata change""));",no
 Global String constants for GUI actions,@Deprecated,no
 Put everything together,VBox container = new VBox();,no
 Check if we should italicize et al string in citations,boolean italicize = style.getBooleanCitProperty(OOBibStyle.ITALIC_ET_AL);,yes
 Inform user to select entries first,dialogService.showInformationDialogAndWait(,yes
 Performs change method responsible for adding proper undo edit to NamedCompound so change can undone,"public abstract void makeChange(BibDatabaseContext database, NamedCompound undoEdit);",no
 Set up bindings,BindingsHelper.bindContentBidirectional(,no
 Try to contact already running JabRef,RemoteClient remoteClient = new RemoteClient(remotePreferences.getPort());,no
 css file excel,"FILE_EXCEL(MaterialDesignIcon.FILE_EXCEL),",yes
